model,K,num_latent_factors,alg,scaling_value,sigma,preproc_time,comp_time,num_items_first_check,num_items_last_check,user_sample_ratio,num_sampled_users,blocked_mm_sample_time,fexipro_sample_time,fexipro_wins
nomad-R2-25-reg-0.001,50,25,SI,127,0.800000,0.372265,4.529542,32.974169,0.871963,0.000000,5120,0.000545,0.000340,True
nomad-R2-25-reg-0.001,50,25,SIR,127,0.800000,0.0,0.0,0.0,0.0,0.000000,5120,0.000474,0.000522,False
nomad-R2-50-reg-0.000001,1,50,SI,127,0.800000,0.999918,2.151092,8.117492,0.018852,0.000000,2560,0.000553,0.000288,True
nomad-R2-50-reg-0.000001,1,50,SIR,127,0.800000,1.157109,2.704153,8.369695,0.129726,0.000000,2560,0.000645,0.000411,True
nomad-R2-50-reg-0.000001,10,50,SI,127,0.800000,1.049021,2.786635,10.938396,0.116198,0.000000,2560,0.000668,0.000420,True
nomad-R2-50-reg-0.000001,10,50,SIR,127,0.800000,0.0,0.0,0.0,0.0,0.000000,2560,0.000556,0.000583,False
nomad-R2-50-reg-0.000001,5,50,SI,127,0.800000,1.057982,2.423193,9.854546,0.064822,0.000000,2560,0.000570,0.000377,True
nomad-R2-50-reg-0.000001,5,50,SIR,127,0.800000,1.236112,3.271423,9.692154,0.283182,0.000000,2560,0.000775,0.000503,True
nomad-R2-50-reg-0.000001,50,50,SI,127,0.800000,1.052306,3.772299,14.879798,0.456350,0.000000,2560,0.000832,0.000642,True
nomad-R2-50-reg-0.000001,50,50,SIR,127,0.800000,0.0,0.0,0.0,0.0,0.000000,2560,0.000589,0.000869,False
